ensemble,family,arm,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
ISO_BI,unregularised,0,0,0.3929174685746221,0.6070825314253779,0.0,99.3851339086923,0.00708253142537793,0.011442611201957335,2.274222271930845,11.47870425259378,
ISO_BI,unregularised,0,1,0.3929209005913039,0.607079099408696,0.0,99.38543231677825,0.007079099408696055,0.011442011307666328,2.2739786258254844,11.47972470461001,
ISO_BI,maxent,1,0,0.3925317721189415,0.6074682278810586,0.0,99.35159534371047,0.007468227881058553,0.010803749559392624,2.0440070931908907,12.090025525845665,
ISO_BI,maxent,1,1,0.39251215578148196,0.6074878442185179,0.0,99.34988943416907,0.007487844218517975,0.010804067002288616,2.0439814971132932,12.089428579018492,
ISO_BI,maxent,2,0,0.371758219562294,0.6282417804377061,0.0,97.53612347328907,0.02824178043770606,0.007868838553585306,1.124507824781951,17.53964581079235,
ISO_BI,maxent,2,1,0.3717807619982602,0.6282192380017397,0.0,97.53810383484148,0.028219238001739783,0.007868374879849217,1.12455559377259,17.539256630811437,
ISO_BI,maxent,3,0,0.36589158204541056,0.6341084179545893,0.0,97.01991637378367,0.03410841795458938,0.007831855152966359,1.1305168212339485,14.531536313860277,
ISO_BI,maxent,3,1,0.36538179070382554,0.6346182092961743,0.0,96.97498107373997,0.0346182092961744,0.007845145679157997,1.1281958212375278,14.639924474929769,
ISO_BI,maxent,4,0,0.3599058477349613,0.6400941522650387,0.0,96.49148780762631,0.040094152265038735,0.008849192750982632,1.106790990870521,33.41408941777214,
ISO_BI,maxent,4,1,0.3599058174685249,0.6400941825314752,0.0,96.49148513107008,0.040094182531475175,0.008849191186256366,1.1067904723891047,33.41412603789722,
ISO_BI,maxent,5,0,0.2541720219668341,0.745827978033166,0.0,86.75833484230309,0.145827978033166,0.02623870168795043,1.5051996726142984,811.0705593212731,
ISO_BI,maxent,5,1,0.25417498469627686,0.7458250153037231,0.0,86.75862139257883,0.14582501530372316,0.026237980371939213,1.505192516142122,811.0710680560435,
ISO_BI,maxent,6,0,0.05886060211320235,0.9411393978867977,0.0,63.93215358610706,0.3411393978867977,0.9977885885576252,43.968214088558,829.4227228581989,
ISO_BI,maxent,6,1,0.05886060211320239,0.9411393978867973,0.0,63.93215358610708,0.3411393978867975,0.9977885885576256,43.96821408855799,829.4227228581987,
ISO_BI,scalar_logpf,7,0,0.381617981613706,0.6183820183862938,0.0,98.40010355814866,0.018382018386293913,0.012166056785885549,1.9200068168795328,21.01566566925171,
ISO_BI,scalar_logpf,7,1,0.3817963196680844,0.6182036803319155,0.0,98.4156912510641,0.018203680331915578,0.012179599663798219,1.9233877714382284,21.05217007796968,
ISO_BI,scalar_logpf,8,0,0.3809902357575082,0.619009764242492,0.0,98.34522436826406,0.019009764242491928,0.01660976935983078,2.412361317557414,43.9705574710117,
ISO_BI,scalar_logpf,8,1,0.38077878419237987,0.6192212158076199,0.0,98.32673489466443,0.01922121580762004,0.016622814994461835,2.4120839146236075,43.9713463050718,
ISO_BI,scalar_logpf,9,0,0.3267909637270719,0.6732090362729283,0.0,93.53214271532467,0.07320903627292821,0.20658904788159507,39.01773631433171,161.78338111472667,
ISO_BI,scalar_logpf,9,1,0.3267949936485701,0.6732050063514299,0.0,93.53250694463509,0.0732050063514299,0.2065873483154113,39.01759678976685,161.7832766510012,
ISO_BI,scalar_logpf,10,0,0.21650273879948703,0.783497261200513,0.0,83.02815637744216,0.18349726120051302,0.33725635536244886,33.56387291045042,307.5455920653968,
